YEAR,PAPER,DATE OF REPORT,DATE OF INCIDENT,LOCATION,HEADLINE,LINK
,," June 16, 2018",,,Lalong advises herdsmen against killings,https://punchng.com/lalong-advises-herdsmen-against-killings/
,,"June 15, 2018",,Osun State,"Herdsmen release kidnapped Methodist priest, others ",https://punchng.com/breaking-herdsmen-release-kidnapped-methodist-priest-others/
,," June 15, 2018",,"Doma, Keana, Awe, Obi and Lafia local government areas of Nasarawa State",‘Herdsmen killed 230 Tiv farmers’,https://punchng.com/herdsmen-killed-230-tiv-farmers/
,,"June 13, 2018",,,"Cleric, others kidnapped by herdsmen’ll be rescued — Aregbesola",https://punchng.com/cleric-others-kidnapped-by-herdsmenll-be-rescued-aregbesola/
,,"June 12, 2018",,,"Methodist priest, others  kidnapped by herdsmen ‘ll be rescued soon- Aregbesola ",https://punchng.com/methodist-priest-others-kidnapped-by-herdsmen-ll-be-rescued-soon-aregbesola/
,," June 12, 2018",,,"Police, groups search for Methodist priest, others abducted by herdsmen",https://punchng.com/police-groups-search-for-methodist-priest-others-abducted-by-herdsmen/
,," June 12, 2018","June 10, 2018","Irigwe chiefdom, in the Bassa Local Government Area of Plateau State.","Herdsmen kill two in Plateau, gunmen attack Malu",https://punchng.com/herdsmen-kill-two-in-plateau-gunmen-attack-malu/
,,"June 12, 2018",,,Osinbajo and herdsmen/farmers’ clashes,https://punchng.com/osinbajo-and-herdsmenfarmers-clashes/
,,"June 10, 2018",,,"Defence minister fuelling herdsmen killings — Afenifere, NBA, others",https://punchng.com/defence-minister-fuelling-herdsmen-killings-afenifere-nba-others/
,,"June 10, 2018",,,Speed up strategies to stop killer herdsmen — Bishop,https://punchng.com/speed-up-strategies-to-stop-killer-herdsmen-bishop/
,,"June 6, 2018",,Guma and Logo local government areas of Benue state,ICYMI: Herdsmen militia killed nine in Benue,https://punchng.com/breaking-herdsmen-militia-killed-nine-in-benue/
,,"June 6, 2018",,,"Herdsmen killings, alleged harassment: National Assembly threatens to invoke its powers against Buhari",https://punchng.com/nassembly-threatens-to-invoke-its-powers-against-buhari/
,,"June 5, 2018",,,Benue police prosecute 188 herdsmen over anti-grazing law,https://punchng.com/benue-police-prosecute-188-herdsmen-over-anti-grazing-law/
,,"June 5, 2018","June 3, 2018",Maraban-Udege village in the Nasarawa Local Government Area,Suspected herdsmen kill three policemen in Nasarawa,https://punchng.com/suspected-herdsmen-kill-three-policemen-in-nasarawa/
,,"June 4, 2018",,Gassol Local Government Area of Taraba State,"Four killed, scores injured as herdsmen attack farmers in Taraba ",https://punchng.com/breaking-four-killed-scores-injured-as-herdsmen-attack-farmers-in-taraba/
,,"June 4, 2018",,Ogodor Kingdom in Aniocha North Local Government Area of Delta State,"Suspected herdsmen kidnap Delta monarch, injure aides",https://punchng.com/suspected-herdsmen-kidnap-delta-monarch-injure-aides/
,,"June 4, 2018",,,Taraba seminary reopens after herdsmen attack,https://punchng.com/taraba-seminary-reopens-after-herdsmen-attack/
,,"June 4, 2018","May 31, 2018",Ihuoba community in the Ahoada East Local Government Area of Rivers State.,"Herdsmen attack Rivers community, abduct woman",https://punchng.com/herdsmen-attack-rivers-community-abduct-woman/
,,"June 4, 2018",,Kwande & Otukpo Local Government Area,"Herdsmen attack, cult clash claim 13 in Benue",https://punchng.com/herdsmen-attack-cult-clash-claim-13-in-benue/
,,"June 4, 2018","June 2, 2018",Kwande Local Government Council of Benue,Herdsmen kill seven in Benue,https://punchng.com/herdsmen-kill-seven-in-benue/
,,"June 3, 2018",,,"Suspected herdsmen kill seven, injure six in Benue attack",https://punchng.com/seven-killed-six-injured-in-kwande-lga-chairman/
,,"June 1, 2018",,,Herdsmen attacks: Are calls for international intervention justified?,https://punchng.com/herdsmen-attacks-are-calls-for-international-intervention-justified/
,,"May 30, 2018",,,"Sultan knocks Ortom, Fani-Kayode for linking herdsmen killings to Danfodio",https://punchng.com/sultan-knocks-ortom-fani-kayode-for-linking-herdsmen-killings-to-danfodio/
,,"May 29, 2018","May 28, 2018",,How herdsmen attacked our seminary –Rector,https://punchng.com/how-herdsmen-attacked-our-seminary-rector/
,,"May 29, 2018",,"Yogbo town, Makurdi, Benue State","Suspected herdsmen allegedly assault pregnant woman, remove foetus",https://punchng.com/suspected-herdsmen-allegedly-assault-pregnant-woman-remove-foetus/
,,"May 29, 2018",,"The Sacred Heart Minor Seminary in Jalingo, Taraba State",Seminary shut as herdsmen attack Catholic priests in Jalingo,https://punchng.com/seminary-shut-as-herdsmen-attack-catholic-priests-in-jalingo/
,,"May 29, 2018",,,"DEMOCRACY DAY: I’m addressing farmer-herdsmen clashes, Buhari vows",https://punchng.com/democracy-day-im-addressing-farmer-herdsmen-clashes-buhari-vows/
,,"May 28, 2018",,"The Sacred Heart Minor Seminary in Jalingo, Taraba State","Catholic priest shot, students beaten as herdsmen attack seminary",https://punchng.com/catholic-priest-shot-students-beaten-as-herdsmen-attack-seminary/
,," May 26, 2018",,,"We’ve lost 200 people, 8,570 houses to herdsmen attacks in Nasarawa –Tiv",https://punchng.com/weve-lost-200-people-8570-houses-to-herdsmen-attacks-in-nasarawa-tiv/
,,"May 24, 2018","May 22, 2018",Naka/Makurdi Road,Suspected herdsmen kill two people returning from Catholic priests’ burial,https://punchng.com/suspected-herdsmen-kill-two-people-returning-from-catholic-priests-burial/
,,"May 22, 2018",,Benue State,"Catholics protest as two priests, 17 others slain by herdsmen buried",https://punchng.com/catholics-protest-as-two-priests-17-others-slain-by-herdsmen-buried/
,,"May 22, 2018",,Makurdi the Benue State capital,"PHOTOS: Benue buries Catholic priests, 17 parishioners slain by herdsmen",https://punchng.com/photos-benue-buries-catholic-priests-17-parishioners-slain-by-herdsmen/
,,"May 22, 2018","May 19, 2018","wer, Logo and Guma Local Government Areas of Benue State",Troops killed 25 herdsmen in Benue – DHQ,https://punchng.com/troops-killed-25-herdsmen-in-benue-dhq/
,," May 21, 2018","May 20, 2018",Michia settlement in Gaambe-Tiev of Logo Local Government Area of Benue state,"Again, herdsmen kill five in Benue",https://punchng.com/again-herdsmen-kill-five-in-benue/
,,"May 20, 2018",,"Ikpayongo, Gwer Local Government Area of Benue State","Again, herdsmen kill six in Benue",https://punchng.com/again-herdsmen-kill-six-in-benue/
,,"May 15, 2018",,,"Stop treating herdsmen as kinsmen, bishop tells Buhari",https://punchng.com/stop-treating-herdsmen-as-kinsmen-bishop-tells-buhari/
,,"May 15, 2018"," May 21, 2018",Suntai Daji village of Donga Local Government Area of Taraba state.,"Army nab four armed herdsmen, recover AK47 rifle, ammunition in Taraba ",https://punchng.com/army-nab-four-armed-herdsmen-recover-ak47-rifle-ammunition-in-taraba/
,,"May 15, 2018",,,Coalition storms AGF office in protest against herdsmen killings,https://punchng.com/coalition-storms-agf-office-in-protest-against-herdsmen-killings/
,,"May 8, 2018",,,Herdsmen attacks: Nigeria degenerating into failed state –PFN president,https://punchng.com/herdsmen-attacks-nigeria-degenerating-into-failed-state-pfn-president/
,,"May 7, 2018",,,"Killer herdsmen, bandits are terrorists, says Shehu Sani",https://punchng.com/killer-herdsmen-bandits-are-terrorists-says-shehu-sani/
,,"May 7, 2018",,,"Killings: Taraba gov faults Buhari, says herdsmen bear arms",https://punchng.com/killings-taraba-gov-faults-buhari-says-herdsmen-bear-arms/
,,"May 7, 2018",,,Herdsmen attacks: Catholics plan mass protest in Edo,https://punchng.com/herdsmen-attacks-catholics-plan-mass-protest-in-edo/
,,"May 5, 2018",,,Herdsmen killings: IPOB declares sit-at-home in 20 states,https://punchng.com/herdsmen-killings-ipob-declares-sit-at-home-in-20-states/
,,"May 5, 2018",,,Ex-CAN chairman advises Buhari on herdsmen,https://punchng.com/ex-can-chairman-advises-buhari-on-herdsmen/
,,"May 3, 2018",,,"Declare killer herdsmen as terrorists, Bishop tells FG",https://punchng.com/declare-killer-herdsmen-as-terrorists-bishop-tells-fg/
,,"May 1, 2018",,,Security forces and herdsmen attacks,https://punchng.com/security-forces-and-herdsmen-attacks/
,,"May 1, 2018",,,"Declare killer herdsmen as terrorists, Methodist prelate tells FG",https://punchng.com/declare-killer-herdsmen-as-terrorists-methodist-prelate-tells-fg/
,,"April 30, 2018",,,"We’re stabilising herdsmen attacks, Buhari assures Trump",https://punchng.com/were-stabilising-herdsmen-attacks-buhari-assures-trump/
,,"April 29, 2018",,,"Herdsmen killings’ll be over soon, says Aregbesola",https://punchng.com/herdsmen-killingsll-be-over-soon-says-aregbesola/
,,"April 29, 2018","April 29, 2018","Ibadan, Oyo State","Herdsmen killings: Imo CAN stays away as Christians protest in Oyo, Abuja, Benue and Kogi",https://punchng.com/herdsmen-killings-imo-can-stays-away-as-christians-protest-in-oyo-abuja-benue-and-kogi/
,,"April 29, 2018",,,Christians protest herdsmen killings in Oyo,https://punchng.com/christians-protest-herdsmen-killings-in-oyo/
,,"April 29, 2018",,,PHOTOS: Christians in Abuja protest herdsmen killings,https://punchng.com/photos-christians-in-abuja-protest-herdsmen-killings/
,,"April 29, 2018",,,Military parades armed herdsmen,https://punchng.com/military-parades-armed-herdsmen/
,,"April 29, 2018",,,"My heart bleeds over Boko Haram, herdsmen killings – Gowon",https://punchng.com/my-heart-bleeds-over-bharam-herdsmen-killings-gowon/
,,"April 29, 2018",,,"Benin Oba visits Ooni, asks Buhari to stop herdsmen killings",https://punchng.com/benin-oba-visits-ooni-asks-buhari-to-stop-herdsmen-killings/
,,"April 28, 2018",,,Military parades captured armed herdsmen,https://punchng.com/military-parades-captured-armed-herdsmen/
,,"April 28, 2018",,,Herdsmen killings: CAN mobilises churches for nationwide protests Sunday,https://punchng.com/herdsmen-killings-can-mobilises-churches-for-nationwide-protests-sunday/
,,"April 28, 2018",,"Makurdi, Benue State capital",Tension in Makurdi over planned attack by suspected Hausa/Fulani herdsmen,https://punchng.com/tension-in-makurdi-over-planned-attack-by-suspected-hausafulani-herdsmen/
,,"April 28, 2018",,"Akure, the Ondo State capital",Anglican bishops protest herdsmen killings in Ondo,https://punchng.com/anglican-bishops-protest-herdsmen-killings-in-ondo/
,,"April 27, 2018",,,"Benue: Killer herdsmen are sponsored, says military",https://punchng.com/benue-killer-herdsmen-are-sponsored-says-military/
,,"April 26, 2018",,,Killings: NEC recommends ban on herdsmen movement in five states,https://punchng.com/killings-nec-recommends-ban-on-herdsmen-movement-in-five-states/
,,"April 26, 2018","April 26, 2018",Logo Local Government Area of Benue State,"Again, herdsmen kill seven in Benue Church",https://punchng.com/breaking-again-herdsmen-kill-seven-in-benue-church/
,,"April 26, 2018",,,"Herdsmen killings: Nigerians knock President, CAN orders protests",https://punchng.com/herdsmen-killings-nigerians-knock-president-can-orders-protests/
,,"April 26, 2018",,Ihuman village in the Awe Local Government Area of Nasarawa State,Suspected herdsmen kill seven in Nasarawa …communal clash death toll hits 30,https://punchng.com/suspected-herdsmen-kill-seven-in-nasarawa-communal-clash-death-toll-hits-30/
,,"April 26, 2018","April 24, 2018",Guma and ‘Gwer West Local Government Areas of Benue State,"Again, herdsmen attack Benue villages",https://punchng.com/again-herdsmen-attack-benue-villages/
,,"April 26, 2018",,,Ukiwe wants immediate disarming of herdsmen,https://punchng.com/ukiwe-wants-immediate-disarming-of-herdsmen/
,,"April 25, 2018",,"Makurdi, the Benue State","Again, herdsmen kill 11 in Benue",https://punchng.com/again-herdsmen-kill-11-in-benue/
,,"April 25, 2018",,,We’re working to fish out criminal herdsmen – Miyetti Allah,https://punchng.com/were-working-to-fish-out-criminal-herdsmen-miyetti-allah/
,,"April 25, 2018",,,CAN calls for nationwide protest against herdsmen killings,https://punchng.com/can-calls-for-nationwide-protest-against-herdsmen-killings/
,,"April 25, 2018",,Ayar Mbalom community in the Gwer East Local Government Area of Benue State,"Protests in Benue as herdsmen kill two Catholic priests, 17 others inside church",https://punchng.com/protests-in-benue-as-herdsmen-kill-two-catholic-priests-17-others-inside-church/
,,"April 24, 2018","April 24, 2018",Ayar-Mbalom community of Gwer East Local Government Area of Benue State,"Herdsmen attack church, kill two priests, 17 others",https://punchng.com/herdsmen-attack-church-kill-two-priests-17-others/
,,"April 24, 2018",,Bassa Local Government Area of Kogi State,"Army kills six hoodlums, as herdsmen kill Benue soldier",https://punchng.com/army-kills-six-hoodlums-as-herdsmen-kill-benue-soldier/
,,"April 23, 2018","April 22, 2018",Aniocha North Local Government Area of Delta State.,Suspected herdsmen kill 40-year-old farmer,https://punchng.com/suspected-herdsmen-kill-40-year-old-farmer/
,,"April 22, 2018",,,Insurance firms refused to pay for cassava farms destroyed by herdsmen — Segun Adewunmi,https://punchng.com/insurance-firms-refused-to-pay-for-cassava-farms-destroyed-by-herdsmen-segun-adewunmi/
,,"April 22, 2018",,,"Govs should use security vote to fight herdsmen, not divert it –Orji Kalu",https://punchng.com/govs-should-use-security-vote-to-fight-herdsmen-not-divert-it-orji-kalu/
,,"April 22, 2018",,Saghev council ward of the Guma Local Government Area of Benue State ,"Again, herdsmen raid Benue communities, kill 10",https://punchng.com/again-herdsmen-raid-benue-communities-kill-10/
,,"April 22, 2018",,,"Police’ll probe herdsmen’s links with Libya, says DHQ",https://punchng.com/policell-probe-herdsmens-links-with-libya-says-dhq/
,,"April 21, 2018","April 20, 2018",,Benue killings: Suspected herdsmen kill ten in fresh attack,https://punchng.com/breaking-suspected-herdsmen-kill-ten-in-benue-communities-in-fresh-attack/
,,"April 20, 2018",,,"Stop killings by herdsmen, Soyinka tells Buhari",https://punchng.com/stop-killings-by-herdsmen-soyinka-tells-buhari/
,,"April 20, 2018","April 18, 2018",Tahu community in the Bassa Local Government Area of Plateau State,"Again, herdsmen strike in Plateau, kill construction workers",https://punchng.com/again-herdsmen-strike-in-plateau-kill-construction-workers/
,,"April 19, 2018","April 18, 2018",Nche-Tahu close to Rafi Bauna in Bassa Local Government Area of Plateau State.,Herdsmen kill four construction workers in fresh attack,https://punchng.com/herdsmen-kill-four-construction-workers-in-fresh-attack/
,,"April 19, 2018",,,"We lost 13 soldiers, arrested 162 herdsmen in Benue, Taraba — DHQ",https://punchng.com/we-lost-13-soldiers-arrested-162-herdsmen-in-benue-taraba-dhq/
,,"April 19, 2018",,,"ECOWAS holds conference on herdsmen, farmers’ crisis April 26",https://punchng.com/ecowas-holds-conference-on-herdsmen-farmers-crisis-april-26/
,,"April 18, 2018",,,"Herdsmen attacks force 300,000 Benue pupils out of school",https://punchng.com/herdsmen-attacks-force-300000-benue-pupils-out-of-school/
,,"April 18, 2018",,"Ogane-Nigwu, Ojuwo-Ajimadi and Agbenema-Ife areas of Kogi State",Kogi gov sets up panel to probe herdsmen crisis,https://punchng.com/kogi-gov-sets-up-panel-to-probe-herdsmen-crisis/
,,"April 17, 2018","April 16, 2018","Ukemberagya/Tswarev council ward of Gaambe-Tiev, in Logo Local Government Area of Benue State","Suspected Fulani herdsmen sack Benue community, kill village head",https://punchng.com/suspected-fulani-herdsmen-sack-benue-community-kill-village-head/
,,"April 17, 2018","April 13, 2018",southern senatorial district of Nasarawa State,"Herdsmen slay four policemen, 32 villagers",https://punchng.com/herdsmen-slay-four-policemen-32-villagers/
,,"April 16, 2018",,,Killer herdsmen: Obaseki imposes 90-day ban on grazing in Edo communities,https://punchng.com/killer-herdsmen-obaseki-imposes-90-day-ban-on-grazing-in-edo-communities/
,,"April 15, 2018",,,Insurance firms refused to pay for cassava farms destroyed by herdsmen – Segun Adewunmi,https://punchng.com/insurance-firms-refused-to-pay-for-cassava-farms-destroyed-by-herdsmen/
,,"April 13, 2018",,,"Herdsmen attacks: Protest in Plateau, 30 killed in Taraba, Benue",https://punchng.com/herdsmen-attacks-protest-in-plateau-30-killed-in-taraba-benue/
,,"April 13, 2018",,,"Women, youths storm Plateau Assembly over herdsmen attacks",https://punchng.com/women-youths-storm-plateau-assembly-over-herdsmen-attacks/
,,"April 12, 2018",,,Herdsmen killing: Senators bicker over Buhari’s alleged incompetence,https://punchng.com/herdsmen-killing-senators-bicker-over-buharis-alleged-incompetence/
,,"April 12, 2018",,,Herdsmen attacks: Fresh killings in Benue as Buhari promises solutions,https://punchng.com/herdsmen-attacks-fresh-killings-in-benue-as-buhari-promises-solutions/
,,"April 10, 2018","April 8, 2018","Aloshi Chiefdom and Guidan Ayua,  Kadarko area, in the Keana Local Government Area of Nasarawa State",Herdsmen kill six Tiv in Nasarawa,https://punchng.com/herdsmen-kill-six-tiv-in-nasarawa/
,,"April 9, 2018",,,Army arrests herdsmen in six Benue communities,https://punchng.com/army-arrests-herdsmen-in-six-benue-communities/
,,"April 8, 2018",,Okoklo community in the Agatu LGA of Benue State,"Herdsmen attack Benue community, kill father, son",https://punchng.com/herdsmen-attack-benue-community-kill-father-son/
,,"April 6, 2018",,,24 killed in fresh herdsmen attacks on Benue communities –Reps caucus,https://punchng.com/24-killed-in-fresh-herdsmen-attacks-on-benue-communities-reps-caucus/
,,"April 6, 2018","April 5, 2018",Donga Local Government Area of Taraba State.,Herdsmen kill five in fresh Taraba attack,https://punchng.com/herdsmen-kill-five-in-fresh-taraba-attack/
,,"April 5, 2018","April 4, 2018",Takum Local Government in Taraba State,"Herdsmen kill man, wife, two children in Taraba",https://punchng.com/herdsmen-kill-man-wife-two-children-in-taraba/
,,"April 4, 2018",,,"Herdsmen/farmers’ crisis: Buhari orders assessment of damage in Benue, others",https://punchng.com/herdsmenfarmers-crisis-buhari-orders-assessment-of-damage-in-benue-others/
,,"April 3, 2018",,,Falana tells court how FG’s inaction fuels herdsmen killings,https://punchng.com/falana-tells-court-how-fgs-inaction-fuels-herdsmen-killings/
,,"April 3, 2018",,,FCT community resists herdsmen’s move to encroach on farmlands,https://punchng.com/fct-community-resists-herdsmens-move-to-encroach-on-farmlands/
,,"April 1, 2018","March 30, 2018","Garba Chede, Bali Local Government Area of Taraba State","Five kidnappers killed, herdsmen attack two Taraba mourners",https://punchng.com/five-kidnappers-killed-herdsmen-attack-two-taraba-mourners/
,,"March 31, 2018",,,"Tuface, Kate Henshaw fault Buhari’s response to herdsmen attacks, others",https://punchng.com/tuface-kate-henshaw-fault-buharis-response-to-herdsmen-attacks-others/
,,"March 31, 2018","March 16, 2018",Esan South-East Local Government Area of Edo State,I never knew my son could be victim of herdsmen killing –Father of AAU undergraduate killed by suspected herdsmen,https://punchng.com/i-never-knew-my-son-could-be-victim-of-herdsmen-killing-father-of-aau-undergraduate-killed-by-suspected-herdsmen/
,,"March 29, 2018",,,Gunmen kill 15 herdsmen in Zamfara,https://punchng.com/breaking-gunmen-kill-15-herdsmen-in-zamfara/
,,"March 27, 2018",,,"Herdsmen killings: I will fast, pray for Danjuma, says Wike",https://punchng.com/herdsmen-killings-i-will-fast-pray-for-danjuma-says-wike/
,,"March 26, 2018","March 16, 2018",Esan South-East Local Government Area of Edo State,Tears as family buries AAU student killed by suspected herdsmen,https://punchng.com/tears-as-family-buries-aau-student-killed-by-suspected-herdsmen/
,,"March 25, 2018",,,"Benue farmers lost rice worth N8bn to herdsmen attacks, commissioner says",https://punchng.com/benue-lost-rice-worth-n8bn-to-herdsmen-attacks-commissioner-says/
,,"March 25, 2018",,,"EU, Army to tackle herdsmen",https://punchng.com/eu-army-to-tackle-herdsmen/
,,"March 24, 2018",,,"Plateau killings: Soldiers in Hilux vans lead herdsmen and cows to graze on our farmlands –District head …victims, survivors recount experiences",https://punchng.com/plateau-killings-soldiers-in-hilux-vans-lead-herdsmen-and-cows-to-graze-on-our-farmlands-district-head-victims-survivors-recount-experiences/
,,"March 24, 2018",,Dong District in Jos North Local Government Area of Plateau State.,Plateau: Fulani herdsmen kill three in fresh attack,https://punchng.com/plateau-fulani-herdsmen-kill-three-in-fresh-attack/
,,"March 23, 2018","March 22, 2018",Umenger in Guma Local Government  Area of Benue State,"Herdsmen kill two, destroy houses in Benue",https://punchng.com/herdsmen-kill-two-destroy-houses-in-benue/
,,"March 22, 2018",,Kishi area of Oyo State,Police arrest herdsmen who allegedly kidnapped WAEC officials,https://punchng.com/police-arrest-herdsmen-who-allegedly-kidnapped-waec-officials/
,,"March 21, 2018",,,"Declare killer herdsmen terrorists, group tells FG",https://punchng.com/declare-killer-herdsmen-terrorists-group-tells-fg/
,,"March 20, 2018",,"Uwheru community, in the Ughelli North Council Area of Delta State.",Suspected Fulani herdsmen allegedly kill four farmers in Delta,https://punchng.com/suspected-fulani-herdsmen-allegedly-kill-four-farmers-in-delta/
,,"March 20, 2018",,,So what exactly do killer herdsmen want?,https://punchng.com/so-what-exactly-do-killer-herdsmen-want/
,,"March 19, 2018",,Omala Local Government Area of Kogi State,"Suspected herdsmen kill traditional ruler, wife and nine others in Kogi",https://punchng.com/breaking-suspected-herdsmen-kill-traditional-ruler-wife-and-nine-others-in-kogi/
,,"March 19, 2018",,"Kwata Sule, Mbayer, Yandev and Kaambee areas of Benue State","Soldiers kill four militiamen, arrest 18 herdsmen in Benue",https://punchng.com/soldiers-kill-four-militiamen-arrest-18-herdsmen-in-benue/
,,"March 19, 2018",,,"Declare herdsmen terrorists, SERAP urges UN Security Council",https://punchng.com/declare-herdsmen-terrorists-serap-urges-un-security-council/
,,"March 18, 2018",,,Troops’ll tackle killer herdsmen — DHQ,https://punchng.com/troopsll-tackle-killer-herdsmen-dhq/
,,"March 18, 2018",,,Herdsmen attacks killing APC chances in 2019 –Sani,https://punchng.com/herdsmen-attacks-killing-apc-chances-in-2019-sani/
,,"March 18, 2018","March 16, 2018",Esan South-East and the Ovia North-East Local Government Areas of Edo State.,Suspected herdsmen kill five in Edo,https://punchng.com/suspected-herdsmen-kill-five-in-edo/
,,"March 18, 2018","March 17, 2018",Koachudu village of Miango District in the Bassa Local Government Area of Plateau State.,Herdsmen kill two in fresh Plateau onslaught,https://punchng.com/herdsmen-kill-two-in-fresh-plateau-onslaught/
,,"March 18, 2018",,,Kogi plans panel over herdsmen killings,https://punchng.com/kogi-plans-panel-over-herdsmen-killings/
,,"March 17, 2018",,,"Middle Belt groups, CSOs call for IGP sacking …as herdsmen behead man, kill seven in Plateau, Taraba",https://punchng.com/mbelt-groups-csos-call-for-igp-sacking/
,,"March 17, 2018",,,Farmers-herdsmen clashes: Buhari inaugurates food security council Monday,https://punchng.com/farmers-herdsmen-clashes-buhari-inaugurates-food-security-council-monday/
,,"March 17, 2018",,,"Ranches, regulated cattle market, solution to herdsmen crisis –Osijo, Veterinary doctor and systems development expert",https://punchng.com/ranches-regulated-cattle-market-solution-to-herdsmen-crisis-osijo-veterinary-doctor-and-systems-development-expert/
,,"March 16, 2018",,,"Farmers, herdsmen clashes: Buhari inaugurates food security council on Monday",https://punchng.com/farmers-herdsmen-clashes-buhari-inaugurates-food-security-council-on-monday/
,,"March 16, 2018",,,"Herdsmen attacks: National food security under threat, says ex-Naval chief",https://punchng.com/herdsmen-attacks-national-food-security-under-threat-says-ex-naval-chief/
,,"March 16, 2018","March 15, 2018","St. Bernard Primary School, Ugwu-Okpoga.","Killer herdsmen: Benue buries 26, 25 killed in Kogi attacks",https://punchng.com/killer-herdsmen-benue-buries-26-25-killed-in-kogi-attacks/
,,"March 16, 2018",,,Fulani herdsmen: Lawyers ask FG to review anti-terror act,https://punchng.com/fulani-herdsmen-lawyers-ask-fg-to-review-anti-terror-act/
,,"March 15, 2018","March 14, 2018","Oganienugwu and Ikende communities in Dekina Local Government Area, Kogi State","Suspected herdsmen invade Kogi communities, kill 25",https://punchng.com/breaking-suspected-herdsmen-invade-kogi-communities-kill-25/
,,"March 15, 2018",,Bassa Local Government Area of Plateau State.,"Lalong declares curfew as herdsmen kill two soldiers, two cops",https://punchng.com/lalong-declares-curfew-as-herdsmen-kill-two-soldiers-two-cops/
,,"March 14, 2018","March 13, 2018",Bassa Local Government Area of Plateau State.,"Plateau: Seven hospitalised, one missing as suspected herdsmen launch fresh attack",https://punchng.com/plateau-seven-hospitalised-one-missing-as-suspected-herdsmen-launch-fresh-attack/
,,"March 14, 2018","March 12, 2018",Bassa Local Government Area of Plateau State.,"How herdsmen killed 26, torched 11 houses in fresh Plateau attacks",https://punchng.com/herdsmen-kill-26-torch-11-houses-in-fresh-plateau-attacks/
,,"March 13, 2018",,,Addressing cattle herdsmen attacks,https://punchng.com/addressing-cattle-herdsmen-attacks/
,,"March 11, 2018",,,"Obasanjo in Benue, visits gravesite of 73 herdsmen victims",https://punchng.com/obasanjo-in-benue-visits-gravesite-of-73-herdsmen-victims/
,,"March 10, 2018",,,"How to end herdsmen, farmers clashes – Obasanjo",https://punchng.com/how-to-end-herdsmen-farmers-clash-obasanjo/
,,"March 10, 2018",,,"Retrieve arms from Boko Haram, herdsmen, vigilance groups tell IGP",https://punchng.com/retrieve-arms-from-bharam-herdsmen-vigilance-groups-tell-igp/
,,"March 10, 2018",,anda village of Daffo District in Bokkos Local Government Area and Miango village in Bassa Local Government Area,"Herdsmen kill 11, torch 50 houses in Plateau",https://punchng.com/herdsmen-kill-11-torch-50-houses-in-plateau/
,,"March 9, 2018",,,"Curfew imposed in Taraba over herdsmen, farmers clash",https://punchng.com/curfew-imposed-in-taraba-over-herdsmen-farmers-clash/
,,"March 9, 2018",,,Benue groups seek foreign support against killer herdsmen,https://punchng.com/benue-groups-seek-foreign-support-against-killer-herdsmen/
,,"March 9, 2018",,,"Herdsmen: Convoke security summit, Afenifere tells Akeredolu",https://punchng.com/herdsmen-convoke-security-summit-afenifere-tells-akeredolu/
,,"March 8, 2018",,,"Boko Haram, herdsmen’s attacks sign of internal aggression, says Fayose",https://punchng.com/bharam-herdsmens-attacks-sign-of-internal-aggression-says-fayose/
,,"March 7, 2018",,,Farmers/herdsmen clashes forced Benue to shut 12 schools – NCNE,https://punchng.com/farmersherdsmen-clashes-forced-benue-to-shut-12-schools-ncne/
,,"March 6, 2018",,,[UPDATED] Benue herdsmen attack: Death toll now 24,https://punchng.com/updated-benue-herdsmen-attack-death-toll-now-24/
,,"March 6, 2018","March 5, 2018",Omutu community in Okpokwu local government area of Benue state.,"16 killed in fresh herdsmen, farmers clash in Benue",https://punchng.com/breaking-16-killed-in-fresh-herdsmen-farmers-clash-in-benue/
,,"March 4, 2018",,,11 herdsmen facing prosecution in Benue – Owoseni,https://punchng.com/11-herdsmen-facing-prosecution-in-benue-owoseni/
,,"March 3, 2018","March 2, 2018",Rotsu community in Miango District under Bassa Local Government Area of Plateau State,Plateau: Tension as Fulani herdsmen attack two farmers,https://punchng.com/plateau-tension-as-fulani-herdsmen-attack-two-farmers/
,,"march 2, 2018",,,Seven herdsmen arrested in Benue while destroying farms,https://punchng.com/seven-herdsmen-arrested-in-benue-while-destroying-farms/
,,"march 1, 2018",,,"‘Herdsmen, cows eating crops left by Benue sacked villagers’",https://punchng.com/herdsmen-cows-eating-crops-left-by-benue-sacked-villagers/
,,"February 28, 2018","February 27, 2018",Gwamba community in the Numan Local Government Area of Adamawa State,"Herdsmen raze Adamawa village, army kills 10 fleeing attackers",https://punchng.com/herdsmen-raze-adamawa-village-army-kills-10-fleeing-attackers/
,,"February 28, 2018","February 26, 2018","Mbatoho community in Makurdi, the Benue State ","Herdsmen invaded our village, ordered us to vacate homes –Benue chief",https://punchng.com/herdsmen-invaded-our-village-ordered-us-to-vacate-homes-benue-chief/
,,"February 27, 2018","February 26, 2018","Mbatoho community in Makurdi, Benue State capital.","Herdsmen allegedly invade Benue community, order villagers to vacate homes",https://punchng.com/herdsmen-allegedly-invade-benue-community-order-villagers-to-vacate-homes/
,,"February 27, 2018",,,"Herdsmen invade Ondo Speaker’s farm, destroy cash crops",https://punchng.com/herdsmen-invade-ondo-speakers-farm-destroy-cash-crops/
,,"February 27, 2018","February 26, 2018",Tse-Tigir and Tse-Ndugh villages of Benue.,Troops nab 10 herdsmen destroying farmland in Benue,https://punchng.com/troops-nab-10-herdsmen-destroying-farmland-in-benue/
